MGI Marker Accession ID	Marker name 1	Marker name 2	Marker name 3	status	37 chr	37 bp start	37 bp end	Chr_assigned	fem_assigned_cM	mal_assigned_cM	sexave_assigned_cM	note
MGI:105621	D1Mit475	D1Mit475		good	1	3642218	3642330					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91488	D1Mit118	D1Mit118		good	1	3958981	3959184					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613955	D1Mit242.1	D1Mit242.1		good	1	4185117	4185231					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91625	D1Mit242	D1Mit242		good	1	4185253	4185336					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101958	D1Mit427	D1Mit427		good	1	4526649	4526762					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101957	D1Mit428	D1Mit428		good	1	7257575	7257687					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3623372	D1Mit428.2	D1Mit428.2		good	1	7257656	7257782					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91715	D1Mit65	D1Mit65		good	1	8122863	8123042					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101471	D1Mit295	D1Mit295		good	1	8213389	8213576					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101470	D1Mit296	D1Mit296		good	1	9739811	9739954					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91708	D1Mit58	D1Mit58		good	1	9747200	9747453					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613978	D1Mit58.2	D1Mit58.2		good	1	9747327	9747444					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101450	D1Mit316	D1Mit316		good	1	10370541	10370688					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101956	D1Mit429	D1Mit429		good	1	11489393	11489493					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91467	D1Mit1	D1Mit1		good	1	11505583	11505707					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101472	D1Mit294	D1Mit294		good	1	11731388	11731533					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3613945	D1Mit160.1	D1Mit160.1		good	1	12115711	12115846					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91535	D1Mit160	D1Mit160		good	1	12115867	12116005					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91661	D1Mit275	D1Mit275		good	1	12623760	12623847					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91714	D1Mit64	D1Mit64		good	1	12836777	12836908					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91717	D1Mit67	D1Mit67		good	1	13287465	13287604					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91716	D1Mit66	D1Mit66		good	1	13299719	13299875					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91718	D1Mit68	D1Mit68		good	1	13312697	13312870					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91577	D1Mit2	D1Mit2		good	1	13814543	13814713					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101959	D1Mit430	D1Mit430		good	1	14271356	14271468					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101469	D1Mit297	D1Mit297		good	1	15120147	15120343					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:100709	D1Mit1003	D2Mit330		good	1	15359428	15359578					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:88827	D1Mit1002	D10Mit44		good	1	16067510	16067657					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91489	D1Mit119	D1Mit119		good	1	16166538	16166683					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91543	D1Mit168	D1Mit168		good	1	16737008	16737142					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91612	D1Mit230	D1Mit230		good	1	18323882	18324008					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101468	D1Mit298	D1Mit298		good	1	19172946	19173088					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91682	D1Mit3	D1Mit3		good	1	19802051	19802209					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91702	D1Mit52	D1Mit52		good	1	20468989	20469135					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:3623327	D1Mit52.2	D1Mit52.2		good	1	20469161	20469301					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91662	D1Mit276	D1Mit276		good	1	20579626	20579765					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91613	D1Mit231	D1Mit231		good	1	20861477	20861744					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91690	D1Mit4	D1Mit4		good	1	21059325	21059517					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101394	D1Mit372a	D1Mit372	D1Mit372b	2+	1	21250000		1	8.41	4.64	6.50	marker maps to more than one location on 1 chr; locations are <1 Mb apart; marker map position is interpolated to the revised Shifman map based on average bp start position
MGI:101449	D1Mit317	D1Mit317		good	1	21417730	21417851					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:89471	D1Mit1008	D12Mit63		good	1	22676198	22676358					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:101960	D1Mit431	D1Mit431		good	1	22820663	22820764					marker maps to one location; map position interpolated to revised Shifman SNP map
MGI:91491	D1Mit120	D1Mit120		good	1	23077349	23077548					marker maps to one location; map position interpolated to revised Shifman SNP map
